ID;Code;Name;Coordinates;Description;Zone ID;URL;Location Type;Parent Station ID;Timezone;Wheelchair Boarding
oupb02;;Petit Bonheur;49.27281, -0.260182;;;;0;COM_oupb01;;2
gasn11;gasn11;Gare SNCF;49.17554, -0.349328;;;;0;COM_gasn32;;2
deli12;C038B;Délivrande;49.189922, -0.359351;Délivrande;;;0;COM_deli12;;2
bbce02;bbce02;Biéville Centre;49.23738, -0.327145;;;;0;ARCOM@BIE006;;2
bbce01;bbce01;Biéville Centre;49.237343, -0.327267;;;;0;ARCOM@BIE006;;2
oupb01;;Petit Bonheur;49.274944, -0.260825;;;;0;COM_oupb01;;2
psld01;;Périers Mairie;49.25744, -0.339199;;;;0;COM_psld01;;2
chha02;;Chemin de Halage;49.206985, -0.315926;;;;0;COM_chha02;;2
path01;path01;Parc Athéna;49.20387, -0.392323;Parc Athéna;;;0;COM_path01;;2
rimb02;;Rimbaud;49.20901, -0.290414;;;;0;COM_rimb01;;2
jeun01;jeun01;Cairon Château;49.237732, -0.450314;;;;0;COM_jeun01;;2
laza02;;Lazzaro;49.20071, -0.29342;;;;0;COM_laza02_1;;2
befp;BEN005A;Fosse Poirier;49.243057, -0.284203;;;;0;COM_befp;;2
dudu02;;Lycée D. d'Urville;49.19546, -0.355388;;;;0;COM_dudu02_1;;2
dldt01;;Tassigny;49.201656, -0.387931;;;;0;COM_dldt01_1;;2
montg02;;Montgomery;49.202328, -0.390431;;;;0;COM_montg02;;2
burca02;burca02;Buron Canadiens;49.219215, -0.423358;Buron Canadiens;;;0;COM_burca02;;2
frat01;;Fraternite;49.205605, -0.28847;;;;0;COM_frat01;;2
fmar01;;La Ferme Marais;49.179234, -0.300482;;;;0;COM_fmar01_1;;2
impd01;;IMP;49.17777, -0.271979;;;;0;COM_impd01_1;;2
mala02;C098B;Maladrerie;49.18731, -0.407287;Maladrerie;;;0;ARCOM@C098;;2
impd02;;IMP;49.17762, -0.272261;;;;0;COM_impd01_1;;2
lyla12;C042B;Lycée Laplace;49.196976, -0.360022;Lycée Laplace;;;0;ARCOM@C042;;2
debu12;;Debussy;49.13969, -0.354695;;;;0;COM_debu12_1;;2
egcv01;;Eglise Saint-Joseph;49.19237, -0.38993;;;;0;COM_egcv01_1;;2
libec11;;Libéra;49.188297, -0.297874;;;;0;COM_libec11;;2
onta01;;Ontario;49.13635, -0.347913;;;;0;COM_onta01;;2
cipa01;;Cimetière Parc;49.196247, -0.405102;;;;0;COM_cipa01;;2
egcu01;;Cuverville Eglise;49.18843, -0.264662;;;;0;COM_egcu01;;2
stcbu;;Buron;49.217335, -0.420993;;;;0;COM_stcbu;;2
canad02;14LFR022B;Canadiens;49.253, -0.48635;Canadiens;;;0;1150576;;2
1152510;14LFR003B;Le Fresne Mairie;49.257896, -0.488503;Le Fresne mairie;;;0;COM_mfca01;;2
grha01;;Grande Halle;49.191635, -0.303965;;;;0;COM_grha01;;2
jafa02;;Jardins Familiaux;49.212242, -0.320623;;;;0;COM_jafa01;;2
colb02;;Colbert;49.22716, -0.302483;;;;0;COM_colb02_1;;2
mtha01;matha01;Thaon Mairie;49.25807, -0.45667;Mairie;;;0;COM_cree01;;2
clmo02;;Claude Monet;49.16079, -0.346367;;;;0;COM_clmo02_1;;2
rtau01;rtau01;Route d'Aunay;49.142483, -0.424031;;;;0;COM_rtau02;;2
clmo01;;Claude Monet;49.160885, -0.346308;;;;0;COM_clmo02_1;;2
plma11;plma11;Place de la Mare;49.186592, -0.366843;;;;0;COM_plma;;2
pigr;;Pierre Gringoire;49.173527, -0.341325;;;;0;COM_pigr;;2
jafa01;;Jardins Familiaux;49.210846, -0.320571;;;;0;COM_jafa01;;2
plma12;plma12;Place de la Mare;49.187176, -0.366304;;;;0;COM_plma;;2
isig02;;Isigny;49.190205, -0.400474;;;;0;COM_isig02;;2
rubr02;;Branville;49.16756, -0.363582;;;;0;COM_rubr02_1;;2
gdno11;;Collège de Normandie;49.1623, -0.348432;;;;0;COM_gdno11_1;;2
pexe02;pexe02;Parc Expo;49.17044, -0.373811;Parc expo;;;0;ARCOM@C102;;2
havi01;;Haie Vigné;49.179962, -0.383994;;;;0;COM_havi01_1;;2
cldr01;;Clos des Roses;49.186726, -0.39258;;;;0;COM_cldr01_1;;2
COM_tasp12_1;;Tampleu;49.161575, -0.298523;;;;1;;;2
COM_fmar01_1;;Ferme Marais;49.17925, -0.30077;;;;1;;;2
COM_sqpo02_1;;Square Poppa;49.177467, -0.386563;;;;1;;;2
ARCOM@PUT020;;Primevères;49.213516, -0.540339;;;;1;;;2
COM_rvip2;;Poste A;49.20685, -0.307756;;;;1;;;2
COM_ecco22_1;;Colombelles Ecole;49.203377, -0.302837;;;;1;;;2
COM_l3va01;;Les 3 Vallées;49.204594, -0.292836;;;;1;;;2
COM_bist01;;Biéville Stade;49.243645, -0.333539;;;;1;;;2
COM_bbrh01_1;;Rue du Home;49.24559, -0.330482;;;;1;;;2
COM_paca01;;Pays de Caen;49.19702, -0.298547;;;;1;;;2
COM_maco22;;Colombelles Mairie;49.203506, -0.296827;;;;1;;;2
COM_burca02;;Buron Canadiens;49.21921, -0.423385;;;;1;;;2
COM_chep02;;Château d'Eau Plateau;49.17963, -0.308964;;;;1;;;2
COM_emmo01;;Emile Mougins;49.20624, -0.293469;;;;1;;;2
COM_path01;;Parc Athéna;49.2042, -0.392595;;;;1;;;2
COM_ecol01;;Lebisey Ecole;49.220436, -0.34367;;;;1;;;2
ARCOM@C111;;Place du Canada;49.18543, -0.371679;;;;1;;;2
COM_ccou02;;Charles de Coulomb;49.167927, -0.318108;;;;1;;;2
1151170;;Verson Collège;49.15647, -0.45589;;;;1;;;2
COM_pdgr01;;Grande Cour;49.258766, -0.343286;;;;1;;;2
COM_zavb02;;ZAC Vallée Barrey;49.170082, -0.309008;;;;1;;;2
COM_made02_1;;Mandela;49.18603, -0.300743;;;;1;;;2
COM_l2eg01;;Les 2 Eglises;49.18305, -0.30462;;;;1;;;2
COM_cove02;;Collège Prévert;49.154755, -0.458176;;;;1;;;2
COM_bart11;;Barthou;49.172432, -0.331108;;;;1;;;2
COM_coty22_1;;Coty;49.191284, -0.397705;;;;1;;;2
COM_bour01_1;;Chemin Vert;49.193913, -0.401857;;;;1;;;2
COM_gasn32;;Gare SNCF;49.17565, -0.349252;;;;1;;;2
ARCOM@MOU003;;Mouen Mairie;49.145782, -0.485292;;;;1;;;2
COM_leme02_1;;Le Méridien;49.190807, -0.391919;;;;1;;;2
ARCOM@C035;;Demi-Lune;49.174507, -0.339312;;;;1;;;2
COM_stoc01_1;;Stockholm;49.18858, -0.389689;;;;1;;;2
COM_gddi02;;Grâce de Dieu;49.161346, -0.360201;;;;1;;;2
COM_fleury22_1;;Marcel Cachin;49.14528, -0.374427;;;;1;;;2
COM_lopa02;;Louis Pasteur;49.143196, -0.379127;;;;1;;;2
COM_ruce01;;Plateau;49.18191, -0.308752;;;;1;;;2
1151029;;Champ Bailly;49.21648, -0.415607;;;;1;;;2
COM_cema02;;Collège Hawking;49.158978, -0.361435;;;;1;;;2
COM_rdca11;;Rue des Carrières;49.182674, -0.272347;;;;1;;;2
COM_epin01;;Epinette;49.142986, -0.354413;;;;1;;;2
COM_labr01;;Labrador;49.1605, -0.335747;;;;1;;;2
COM_ampe01;;Ampère;49.16015, -0.322439;;;;1;;;2
COM_reth01;;Rethel;49.169777, -0.334246;;;;1;;;2
COM_bel01;;Bellivet;49.182976, -0.360372;;;;1;;;2
COM_mabl01;;Blainville Mairie;49.228214, -0.300033;;;;1;;;2
ARCOM@VER031;;Odon;49.15063, -0.473686;;;;1;;;2
COM_cheh01;;Château d'Eau;49.203316, -0.340042;;;;1;;;2
COM_gall32;;Venoix;49.18116, -0.400987;;;;1;;;2
COM_lefo02;;Léon Foucault;49.20969, -0.350306;;;;1;;;2
COM_ds02;;Sphère;49.210262, -0.347511;;;;1;;;2
COM_plch02;;Place Champlain;49.197865, -0.347602;;;;1;;;2
COM_cam502_1;;Campus 5;49.208645, -0.352051;;;;1;;;2
COM_piga;;Pigacière;49.18879, -0.359524;;;;1;;;2
COM_clhe02_1;;Clos Herbert;49.192314, -0.354777;;;;1;;;2
COM_poeu01;;Europe;49.200275, -0.378914;;;;1;;;2
COM_nash02;;Nashville;49.20068, -0.387742;;;;1;;;2
COM_colb02_1;;Colbert;49.226807, -0.303079;;;;1;;;2
COM_rotb02;;Rots Bonny;49.20364, -0.475683;;;;1;;;2
COM_rorn11;;Gare - Rives de l'Orne;49.178566, -0.350629;;;;1;;;2
COM_cadi14;;Café des Images;49.202183, -0.332303;;;;1;;;2
COM_rema02;;Reine Mathilde;49.187843, -0.355446;;;;1;;;2
COM_mjc01;;PAJ MJC;49.200317, -0.332885;;;;1;;;2
COM_pihe12;;Pierre Heuzé;49.198917, -0.346727;;;;1;;;2
COM_touv02;;Tourville;49.184547, -0.347954;;;;1;;;2
COM_stth01;;Sainte Thérèse;49.170467, -0.338752;;;;1;;;2
COM_inno11;;Innovaparc;49.188843, -0.304035;;;;1;;;2
COM_vihu02;;Victor Hugo;49.22435, -0.308195;;;;1;;;2
COM_siva01;;Silicon Valley;49.1793, -0.394951;;;;1;;;2
COM_flor01;;Les Florals;49.19299, -0.375736;;;;1;;;2
COM_cdna02;;Côte de Nacre;49.211105, -0.362242;;;;1;;;2
COM_ruti01;;Tisserands;49.207195, -0.376741;;;;1;;;2
